race_id,umaban,bamei,ranking_pre,racetime_pre
202105050101,9.0,ウィンダミア,4,81.81465148925781
202105050101,8.0,プリーチトヤーン,6,81.8408432006836
202105050101,15.0,ピンクダイヤ,1,81.64348602294922
202105050101,4.0,ビップソリオ,2,81.75711059570312
202105050101,3.0,レオインテンシブ,3,81.77782440185547
202105050101,5.0,リュッカクローナ,5,81.83951568603516
202105050101,1.0,スノーフォックス,13,82.17970275878906
202105050101,13.0,サノプリ,15,82.29754638671875
202105050101,12.0,ディーロジャー,7,81.89398956298828
202105050101,14.0,ロイズピーク,10,82.0213851928711
202105050101,7.0,プロバブルチェンジ,11,82.10111999511719
202105050101,11.0,ジュンオーズ,14,82.21292114257812
202105050101,6.0,スピーシーズ,12,82.15135192871094
202105050101,2.0,ソンテ,8,81.91612243652344
202105050101,10.0,サノケン,9,81.92185974121094
202105050102,1.0,ロジレット,4,96.19508361816406
202105050102,2.0,レディナビゲーター,1,96.10678100585938
202105050102,13.0,レヴール,6,96.20364379882812
202105050102,4.0,ヨドノスカーレッド,3,96.19054412841797
202105050102,6.0,デカメロン,13,96.44577026367188
202105050102,9.0,ココリヴァルキリー,10,96.25733947753906
202105050102,7.0,チューウィー,8,96.22988891601562
202105050102,5.0,ディオアステリア,11,96.27376556396484
202105050102,8.0,ビッグロジールーフ,12,96.31737518310547
202105050102,12.0,ペイシャスウィート,9,96.23622131347656
202105050102,3.0,キョウエイパーリオ,5,96.19571685791016
202105050102,10.0,アンテロープ,2,96.1571273803711
202105050102,11.0,アロハモーラ,7,96.22134399414062
202105050103,1.0,ララランド,7,87.87407684326172
202105050103,11.0,セイウンハルカニ,1,87.53667449951172
202105050103,12.0,ナカガワフェイス,11,88.13702392578125
202105050103,9.0,ミルトイグニス,2,87.64874267578125
202105050103,2.0,メイリトルラバー,11,88.13702392578125
202105050103,7.0,センジュ,4,87.7511215209961
202105050103,4.0,オルロージュ,13,88.34124755859375
202105050103,13.0,アスガルド,6,87.80765533447266
202105050103,10.0,オリーヴベリー,5,87.80671691894531
202105050103,6.0,イエローウィン,9,88.06452941894531
202105050103,8.0,イントロバート,10,88.09322357177734
202105050103,5.0,レヴァンツォ,8,87.99447631835938
202105050103,3.0,ジャストビギニング,3,87.66101837158203
202105050104,7.0,ディープレイヤー,8,111.54761505126953
202105050104,9.0,フリューゲルホルン,2,110.47718048095703
202105050104,8.0,エテルナ,9,111.7406005859375
202105050104,2.0,ショーンヘイティ,1,110.4361572265625
202105050104,6.0,バリューテーラー,6,110.84947204589844
202105050104,1.0,ミュステーリオン,4,110.68346405029297
202105050104,10.0,タイニープライド,7,110.85845184326172
202105050104,4.0,イワクニ,3,110.48474884033203
202105050104,5.0,アースロマン,10,112.09981536865234
202105050104,3.0,アクナキチョウセン,5,110.76483917236328
202105050105,2.0,トーセンリョウ,1,124.33260345458984
202105050105,4.0,ダノンギャラクシー,2,124.3541030883789
202105050105,7.0,ローズナイトシチー,7,124.91986846923828
202105050105,3.0,スピアヘッド,3,124.5726318359375
202105050105,1.0,ウインルシファー,4,124.63239288330078
202105050105,6.0,ブランデウェイン,8,125.00244903564453
202105050105,5.0,ブーガルー,6,124.90029907226562
202105050105,9.0,マイネルグローリエ,9,125.03491973876953
202105050105,8.0,ウエスタンフレチャ,5,124.8639144897461
202105050106,11.0,モウショウ,1,81.8418960571289
202105050106,13.0,オーロラアーク,10,82.60285186767578
202105050106,8.0,サカエショウ,3,81.9616470336914
202105050106,7.0,ジャスティンパワー,2,81.85466766357422
202105050106,1.0,キタノロッキー,5,82.3369369506836
202105050106,12.0,トキメキスバル,6,82.36405181884766
202105050106,5.0,パワポケビー,13,83.16170501708984
202105050106,3.0,マジョリー,7,82.39057159423828
202105050106,2.0,ビップシャルマン,8,82.43922424316406
202105050106,6.0,キネンビ,9,82.48446655273438
202105050106,9.0,タマモビラカリーナ,11,82.65961456298828
202105050106,4.0,シュネーシュテルン,4,82.29745483398438
202105050106,10.0,ノットクラッシュ,12,82.66051483154297
202105050107,2.0,アラゴナイト,6,100.33995056152344
202105050107,8.0,ミラーウォーカーズ,11,100.48257446289062
202105050107,11.0,コーンフィールド,4,100.29948425292969
202105050107,9.0,ダイナストーン,10,100.47046661376953
202105050107,1.0,パラノイド,7,100.35700988769531
202105050107,10.0,リキサンハート,13,100.8476333618164
202105050107,7.0,セレンゲティ,8,100.35717010498047
202105050107,12.0,ジュラメント,9,100.43245697021484
202105050107,4.0,ブロードマリー,12,100.80801391601562
202105050107,6.0,スパークオブライフ,1,99.17417907714844
202105050107,3.0,フェルマーテ,2,99.61415100097656
202105050107,5.0,アドラツィオーネ,3,99.78811645507812
202105050107,13.0,エアーレジーナ,5,100.32815551757812
202105050108,5.0,ジュンキリタップ,13,136.3513641357422
202105050108,11.0,エコロカナワン,9,136.21527099609375
202105050108,10.0,セルヴァン,6,136.05532836914062
202105050108,6.0,ネオヴィットーリア,1,133.3733673095703
202105050108,3.0,サトノアレックス,4,134.61610412597656
202105050108,4.0,リズムオブザナイト,14,136.44927978515625
202105050108,15.0,ダイモーン,12,136.33677673339844
202105050108,12.0,テイエムダイアタリ,11,136.29383850097656
202105050108,8.0,アメリカンエール,8,136.16006469726562
202105050108,1.0,バルンストック,5,134.672607421875
202105050108,2.0,ロングテール,10,136.27389526367188
202105050108,13.0,スキルショット,3,134.42581176757812
202105050108,14.0,クロヒョウ,2,133.91969299316406
202105050108,7.0,リオンドール,15,136.58355712890625
202105050108,9.0,サクラロワ,7,136.12940979003906
202105050109,15.0,バルトリ,12,82.22046661376953
202105050109,9.0,アヴェラーレ,18,82.8551254272461
202105050109,17.0,アップストリーム,17,82.78790283203125
202105050109,13.0,ソスピタ,13,82.27249145507812
202105050109,8.0,アビエルト,14,82.29202270507812
202105050109,14.0,ベストクィーン,10,82.0768814086914
202105050109,4.0,カフェサンドリヨン,11,82.14601135253906
202105050109,10.0,フィルムフェスト,9,81.97715759277344
202105050109,5.0,エバーミランダ,6,81.86495208740234
202105050109,2.0,マサノアッレーグラ,4,81.8399658203125
202105050109,1.0,ペイシャフェスタ,15,82.3984146118164
202105050109,6.0,アルディテッツァ,3,81.7968978881836
202105050109,18.0,ヘイワノツカイ,7,81.887939453125
202105050109,12.0,セイドアモール,8,81.91382598876953
202105050109,3.0,ナンゴクアイネット,5,81.85982513427734
202105050109,11.0,ヴァイスブリッツ,2,81.78263854980469
202105050109,7.0,ニシノアップルパイ,1,81.56713104248047
