ranking,waku,umaban,bamei,bamei_url,sexage,handicap,jockey,jockey_url,racetime,difference,popular,odds,furlong3,corner_rank,stable,trainer,trainer_url,weight,weight_change,race_id
1,5,8,ドリームソルジャー,https://db.netkeiba.com/horse/2014102243,牡7,60.0,植野,https://db.netkeiba.com/jockey/00727/,3:16.8,,5,7.8,13.7,5-5-3-2,栗東,渡辺,https://db.netkeiba.com/trainer/01155/,484,0,202106040801
2,8,14,プリンスオブペスカ,https://db.netkeiba.com/horse/2014105081,牡7,60.0,森一,https://db.netkeiba.com/jockey/01139/,3:17.8,6,3,5.2,13.7,11-9-10-9,栗東,松永昌,https://db.netkeiba.com/trainer/01083/,488,-8,202106040801
3,7,11,ブルーノジュネス,https://db.netkeiba.com/horse/2017104442,セ4,60.0,五十嵐,https://db.netkeiba.com/jockey/01069/,3:17.8,ハナ,2,4.7,13.7,2-2-4-4,美浦,宗像,https://db.netkeiba.com/trainer/00420/,498,+6,202106040801
4,3,3,アノ,https://db.netkeiba.com/horse/2016102556,牡5,60.0,難波,https://db.netkeiba.com/jockey/01066/,3:18.2,2.1/2,6,9.5,13.8,13-12-12-11,栗東,鈴木孝,https://db.netkeiba.com/trainer/01111/,442,-6,202106040801
5,5,7,アルトリウス,https://db.netkeiba.com/horse/2014105324,セ7,60.0,蓑島,https://db.netkeiba.com/jockey/01068/,3:18.3,1/2,13,127.2,13.8,7-8-9-9,美浦,高橋文,https://db.netkeiba.com/trainer/01134/,462,+6,202106040801
6,1,1,アポロファントム,https://db.netkeiba.com/horse/2017104113,牡4,60.0,金子,https://db.netkeiba.com/jockey/01052/,3:18.5,1.1/4,9,30.7,13.8,8-6-5-5,美浦,鈴木伸,https://db.netkeiba.com/trainer/01026/,462,+4,202106040801
7,4,5,ピュアヒカリ,https://db.netkeiba.com/horse/2016100862,セ5,60.0,上野,https://db.netkeiba.com/jockey/01087/,3:19.1,3.1/2,11,82.4,13.8,1-1-1-1,美浦,竹内,https://db.netkeiba.com/trainer/01152/,450,-8,202106040801
8,4,6,グリニッチヴィレジ,https://db.netkeiba.com/horse/2013103941,牝8,58.0,伴,https://db.netkeiba.com/jockey/01149/,3:19.2,クビ,12,107.5,13.8,2-4-5-6,美浦,天間,https://db.netkeiba.com/trainer/01090/,462,+6,202106040801
9,2,2,ブラックジャッカル,https://db.netkeiba.com/horse/2018105424,セ3,58.0,熊沢,https://db.netkeiba.com/jockey/00652/,3:19.2,クビ,8,21.3,13.8,2-2-2-3,栗東,須貝,https://db.netkeiba.com/trainer/01105/,464,0,202106040801
10,3,4,アドラメレク,https://db.netkeiba.com/horse/2014105356,牡7,60.0,西谷誠,https://db.netkeiba.com/jockey/01005/,3:19.5,1.1/2,4,7.7,13.9,6-6-7-7,栗東,長谷川,https://db.netkeiba.com/trainer/01173/,478,+4,202106040801
11,7,12,レーヴドオルフェ,https://db.netkeiba.com/horse/2017102082,牡4,60.0,小野寺,https://db.netkeiba.com/jockey/01123/,3:19.6,3/4,7,11.8,13.9,11-11-7-7,美浦,菊川,https://db.netkeiba.com/trainer/01052/,506,+6,202106040801
12,6,10,ワンダーサーイター,https://db.netkeiba.com/horse/2017102751,牡4,60.0,草野,https://db.netkeiba.com/jockey/01113/,3:20.0,2,10,63.9,13.9,14-12-13-13,美浦,畠山,https://db.netkeiba.com/trainer/01048/,476,+10,202106040801
13,8,13,イッツリット,https://db.netkeiba.com/horse/2016110133,牡5,60.0,石神,https://db.netkeiba.com/jockey/01059/,3:21.5,9,1,3.6,14.0,9-9-11-12,美浦,和田郎,https://db.netkeiba.com/trainer/01114/,508,+16,202106040801
1,3,6,アイムファイン,https://db.netkeiba.com/horse/2019102303,牝2,54.0,岩部,https://db.netkeiba.com/jockey/00726/,1:09.1,,6,18.4,34.6,3-3,美浦,奥平,https://db.netkeiba.com/trainer/01074/,406,-2,202106040802
2,7,14,ディージェーサン,https://db.netkeiba.com/horse/2019103517,牝2,54.0,横山武,https://db.netkeiba.com/jockey/01170/,1:09.1,アタマ,2,4.5,34.5,3-3,美浦,古賀史,https://db.netkeiba.com/trainer/00392/,414,+8,202106040802
3,8,16,スンヌンタイ,https://db.netkeiba.com/horse/2019102155,牝2,54.0,津村,https://db.netkeiba.com/jockey/01092/,1:09.5,2,1,2.3,35.3,1-1,美浦,岩戸,https://db.netkeiba.com/trainer/01051/,502,+4,202106040802
4,5,10,ブランデーロック,https://db.netkeiba.com/horse/2019107075,牡2,53.0,△山田,https://db.netkeiba.com/jockey/01173/,1:09.7,1.1/4,4,11.7,35.4,2-2,美浦,小桧山,https://db.netkeiba.com/trainer/01005/,458,+6,202106040802
5,1,1,モール,https://db.netkeiba.com/horse/2019100929,牡2,55.0,ルメー,https://db.netkeiba.com/jockey/05339/,1:09.8,1/2,3,4.7,34.2,10-9,美浦,小手川,https://db.netkeiba.com/trainer/01171/,472,-6,202106040802
6,2,3,コリコ,https://db.netkeiba.com/horse/2019102548,牝2,54.0,江田照,https://db.netkeiba.com/jockey/00689/,1:09.8,クビ,9,98.9,35.1,6-6,美浦,粕谷,https://db.netkeiba.com/trainer/01096/,434,0,202106040802
7,8,15,ベルベリス,https://db.netkeiba.com/horse/2019102480,牝2,54.0,三浦,https://db.netkeiba.com/jockey/01122/,1:09.8,アタマ,5,14.6,35.0,8-7,美浦,高橋文,https://db.netkeiba.com/trainer/01134/,462,+8,202106040802
8,4,8,タイセイクレセント,https://db.netkeiba.com/horse/2019102738,牡2,55.0,斎藤,https://db.netkeiba.com/jockey/01178/,1:10.3,2.1/2,7,21.0,35.8,3-3,美浦,斎藤誠,https://db.netkeiba.com/trainer/01086/,470,+4,202106040802
9,6,12,ドゥラヴォーグ,https://db.netkeiba.com/horse/2019106726,牝2,51.0,▲原,https://db.netkeiba.com/jockey/01184/,1:10.3,ハナ,16,383.9,34.7,10-9,美浦,加藤和,https://db.netkeiba.com/trainer/01077/,408,+4,202106040802
10,5,9,エスティメート,https://db.netkeiba.com/horse/2019102648,牡2,55.0,的場,https://db.netkeiba.com/jockey/01108/,1:10.3,ハナ,8,21.5,35.6,6-7,美浦,的場,https://db.netkeiba.com/trainer/01063/,446,+2,202106040802
11,4,7,オリベ,https://db.netkeiba.com/horse/2019101086,牡2,55.0,原田和,https://db.netkeiba.com/jockey/01143/,1:10.6,2,14,352.0,35.3,9-9,美浦,伊藤大,https://db.netkeiba.com/trainer/01109/,476,-4,202106040802
